state,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Henagar,96.2,0.0,1.8,0.0,1.4
AL,Highland Lake,98.8,0.0,1.0,0.2,0.7
AL,Highland Lakes,87.6,7.6,0.2,2.3,1.6
AL,Hillsboro,14.1,80.1,1.8,0.2,1.6
AL,Hissop,25.1,74.3,0.0,0.2,2.0
AL,Hobson,99.2,0.0,0.0,0.0,0.0
AL,Hobson City,12.6,85.9,0.0,0.4,1.3
AL,Hodges,98.6,0.0,1.4,0.0,1.0
AL,Hokes Bluff,98.5,0.3,0.1,0.4,0.2
AL,Hollins,89.4,7.7,0.6,0.0,0.7
AL,Hollis Crossroads,86.0,5.4,0.3,0.0,8.4
AL,Holly Pond,98.5,0.3,0.4,0.0,1.4
AL,Hollywood,75.8,14.8,1.7,0.3,4.9
AL,Holt,39.4,55.2,0.4,0.2,7.2
AL,Holtville,90.4,7.4,0.5,0.2,1.3
AL,Homewood,74.6,17.3,0.2,2.2,7.3
AL,Hoover,75.1,14.8,0.2,5.1,6.0
AL,Horn Hill,91.7,1.3,3.9,0.0,3.1
AL,Hueytown,70.0,27.2,0.3,0.5,2.0
AL,Huguley,73.0,25.0,0.6,0.2,1.2
AL,Huntsville,60.3,31.2,0.6,2.4,5.8
AL,Hurtsboro,29.1,69.6,0.5,0.0,2.2
AL,Hytop,91.5,0.3,4.5,0.0,3.4
AL,Ider,93.2,0.6,4.0,0.0,0.1
AL,Indian Springs Village,95.7,1.5,0.2,1.9,0.9
AL,Irondale,56.3,35.4,0.3,1.4,7.8
AL,Ivalee,96.1,1.6,0.5,0.0,1.4
AL,Jackson,54.9,42.9,0.7,0.4,1.4
AL,Jacksons' Gap,68.2,28.9,0.5,0.5,1.9
AL,Jacksonville,68.7,26.8,0.5,1.3,2.3
AL,Jasper,81.3,13.4,0.3,0.7,4.4
AL,Jemison,77.8,17.7,0.1,0.1,7.0
AL,Joppa,81.4,0.2,0.8,0.0,17.2
AL,Kansas,100.0,0.0,0.0,0.0,0.0
AL,Kellyton,68.2,19.8,0.0,0.0,11.5
AL,Kennedy,83.4,14.3,0.0,0.2,0.9
AL,Killen,94.0,3.2,0.3,0.5,2.4
AL,Kimberly,96.2,1.8,0.4,0.6,0.8
AL,Kinsey,49.9,46.0,0.3,0.1,4.0
AL,Kinston,95.6,0.2,2.0,0.6,0.9
AL,Ladonia,86.5,9.8,0.7,0.3,2.7
AL,La Fayette,29.3,68.8,0.1,0.4,1.9
AL,Lakeview,86.7,0.0,3.5,0.0,0.0
AL,Lake View,93.9,4.2,0.1,0.7,0.6
AL,Lanett,39.3,57.5,0.2,0.1,2.4
AL,Langston,94.4,1.1,0.0,0.0,0.0
AL,Leeds,78.7,14.3,0.4,0.6,6.6
AL,Leesburg,96.5,1.1,0.0,0.0,1.3
AL,Leighton,43.3,53.2,0.3,0.1,0.5
AL,Leroy,78.6,20.1,0.2,0.0,0.2
AL,Lester,99.1,0.0,0.0,0.0,0.9
AL,Level Plains,75.3,12.4,0.5,1.5,11.0
AL,Lexington,98.4,0.0,0.5,0.1,0.8
AL,Libertyville,88.9,0.9,1.7,0.0,4.3
AL,Lincoln,73.3,23.4,0.5,0.4,1.9
AL,Linden,51.1,46.7,0.1,0.2,2.0
AL,Lineville,58.6,36.9,0.3,0.2,4.6
AL,Lipscomb,22.0,61.0,1.1,0.0,19.7
AL,Lisman,6.7,92.2,0.0,0.0,0.2
AL,Littleville,96.5,0.7,0.7,0.6,1.8
AL,Livingston,34.6,63.9,0.1,0.3,0.7
AL,Loachapoka,58.9,37.2,0.0,2.8,1.1
AL,Lockhart,72.7,25.2,0.2,0.0,1.4
AL,Locust Fork,97.0,0.6,0.8,0.0,2.4
AL,Lookout Mountain,95.9,2.3,0.4,0.0,1.2
AL,Louisville,49.3,44.1,0.8,0.0,7.9
AL,Lowndesboro,76.5,20.9,0.0,0.0,0.9
AL,Loxley,84.4,9.4,0.7,0.6,5.1
AL,Luverne,62.6,29.6,0.3,5.5,1.9
AL,Lynn,98.0,0.0,0.3,0.0,0.9
AL,McDonald Chapel,55.8,39.3,0.0,0.6,2.8
AL,Macedonia,8.9,91.1,0.0,0.0,0.0
AL,McIntosh,37.0,55.5,4.2,0.4,2.9
AL,McKenzie,67.7,29.8,0.4,0.0,0.4
AL,McMullen,10.0,60.0,0.0,0.0,30.0
AL,Madison,74.0,14.6,0.5,7.0,4.3
AL,Madrid,88.9,8.6,0.6,0.9,3.1
AL,Magnolia Springs,96.3,0.1,0.6,0.4,2.8
AL,Malcolm,40.1,57.2,0.5,0.5,0.0
AL,Malvern,91.2,4.8,0.7,0.1,4.8
AL,Maplesville,68.9,28.5,0.1,0.0,1.1
AL,Marbury,92.2,3.8,0.1,0.0,3.8
AL,Margaret,77.3,19.3,0.3,0.8,1.6
AL,Marion,34.3,64.1,0.2,0.6,1.9
AL,Maytown,89.4,9.6,0.3,0.0,0.0
AL,Meadowbrook,92.8,3.9,0.1,2.1,1.6
AL,Megargel,91.9,3.2,3.2,0.0,0.0
AL,Memphis,0.0,100.0,0.0,0.0,0.0
AL,Mentone,92.2,1.9,1.4,0.0,0.6
AL,Meridianville,76.3,18.5,0.7,1.7,2.7
AL,Midfield,16.4,81.6,0.1,0.2,1.4
AL,Midland City,70.4,23.3,0.5,0.4,4.1
AL,Midway,10.6,89.0,0.0,0.0,0.6
AL,Mignon,64.9,27.1,0.1,0.5,6.9
AL,Millbrook,74.2,21.6,0.4,0.8,2.8
AL,Millerville,91.7,7.6,0.0,0.7,0.0
AL,Millport,64.7,33.7,0.1,0.0,1.0
AL,Millry,60.4,37.9,0.5,0.2,0.4
AL,Minor,77.6,20.9,0.3,0.0,1.5
AL,Mobile,45.0,50.6,0.3,1.8,2.4
AL,Monroeville,42.1,55.7,0.3,0.3,0.8
AL,Montevallo,70.2,24.6,0.3,0.6,5.7
AL,Montgomery,37.3,56.6,0.2,2.2,3.9
AL,Moody,88.2,7.8,0.3,1.4,2.1
AL,Moores Mill,70.9,22.6,1.1,1.5,2.4
AL,Mooresville,94.3,5.7,0.0,0.0,0.0
AL,Morris,97.7,1.0,0.1,0.3,1.1
AL,Morrison Crossroads,92.7,2.3,0.0,0.5,5.5
AL,Mosses,1.5,97.9,0.0,0.0,1.8
AL,Moulton,78.2,13.1,4.1,0.4,1.6
AL,Moundville,56.2,40.4,0.7,0.7,1.8
AL,Mountain Brook,97.2,1.0,0.1,0.9,1.0
AL,Mount Olive,74.9,23.2,0.5,0.0,0.5
AL,Mount Olive,97.7,1.0,0.2,0.3,0.5
AL,Mount Vernon,23.4,73.6,1.7,0.1,0.7
AL,Movico,2.6,96.7,0.3,0.0,0.0
AL,Mulga,81.0,16.9,0.1,0.0,0.6
AL,Munford,82.4,15.6,0.5,0.0,1.0
AL,Muscle Shoals,80.6,15.3,0.3,0.9,2.7
AL,Myrtlewood,85.4,13.8,0.0,0.0,3.1
AL,Nanafalia,57.4,40.4,0.0,0.0,0.0
AL,Nances Creek,98.8,0.0,0.5,0.0,0.7
AL,Napier Field,79.7,16.1,1.7,1.7,2.0
AL,Natural Bridge,100.0,0.0,0.0,0.0,0.0
AL,Nauvoo,99.1,0.0,0.0,0.5,2.7
AL,Nectar,95.7,2.0,0.6,0.6,4.6
AL,Needham,98.9,0.0,1.1,0.0,0.0
AL,Newbern,31.7,67.2,0.0,0.0,2.2
AL,New Brockton,70.1,21.0,5.5,0.5,2.5
AL,New Hope,93.7,0.2,2.5,0.3,1.4
AL,New Market,88.5,6.7,1.4,0.2,4.4
AL,New Site,85.8,12.5,0.4,0.0,0.8
AL,Newton,83.6,13.0,0.7,0.5,1.5
AL,New Union,95.0,0.2,0.3,0.0,4.2
AL,Newville,53.4,40.1,0.0,0.0,8.3
AL,North Courtland,2.4,96.7,0.0,0.0,0.0
AL,North Johns,49.7,46.2,4.1,0.0,0.0
AL,Northport,68.4,26.9,0.3,1.1,4.1
AL,Notasulga,65.0,33.3,0.1,0.1,0.8
AL,Oak Grove,91.3,7.0,0.0,0.8,1.1
AL,Oak Hill,30.8,69.2,0.0,0.0,0.0
AL,Oakman,80.9,18.4,0.1,0.0,0.1
AL,Odenville,94.2,2.3,0.3,0.7,2.1
AL,Ohatchee,94.1,3.2,0.6,0.0,0.6
AL,Oneonta,84.1,6.0,0.5,0.5,15.9
AL,Onycha,95.7,0.0,0.0,0.0,0.0
AL,Opelika,50.6,43.5,0.3,1.7,4.4
AL,Opp,80.9,16.7,0.6,0.3,0.9
AL,Orange Beach,94.3,0.6,0.7,0.8,2.6
AL,Orrville,37.7,62.3,0.0,0.0,0.0
AL,Our Town,85.5,12.8,1.4,0.0,0.5
AL,Owens Cross Roads,91.5,3.6,1.0,0.3,2.2
AL,Oxford,80.5,12.6,0.4,1.1,6.6
AL,Ozark,64.8,30.2,0.7,0.9,3.2
AL,Paint Rock,92.4,1.0,1.9,0.0,0.0
AL,Panola,2.1,97.9,0.0,0.0,0.0
AL,Parrish,70.6,26.0,0.5,0.5,0.5
AL,Pelham,81.2,7.5,0.3,2.4,14.9
AL,Pell City,80.8,15.6,0.3,0.8,2.3
AL,Pennington,50.2,49.8,0.0,0.0,0.0
AL,Penton,69.7,24.9,0.0,0.0,4.5
AL,Perdido Beach,96.2,0.2,0.2,0.2,2.1
AL,Peterman,86.5,9.0,1.1,0.0,0.0
AL,Petrey,91.4,8.6,0.0,0.0,0.0
AL,Phenix City,48.7,46.6,0.3,0.7,4.0
AL,Phil Campbell,95.2,0.2,0.4,0.0,4.0
AL,Pickensville,36.2,63.5,0.3,0.0,0.0
AL,Piedmont,87.0,10.0,0.5,0.1,1.3
AL,Pike Road,68.5,28.7,0.1,1.4,1.3
AL,Pinckard,83.8,12.7,0.6,0.5,1.7
AL,Pine Apple,73.5,24.2,0.8,0.8,0.0
AL,Pine Hill,45.8,53.2,0.4,0.1,0.7
AL,Pine Level,92.0,4.6,0.2,0.5,1.7
AL,Pine Ridge,87.2,1.8,0.0,0.0,20.9
AL,Pinson,79.0,17.0,0.2,0.4,3.7
AL,Pisgah,96.4,0.1,1.5,0.3,0.4
AL,Pleasant Grove,53.7,44.8,0.3,0.2,0.6
AL,Pleasant Groves,95.2,0.0,2.6,0.0,0.5
AL,Point Clear,58.8,39.6,0.0,0.6,0.9
AL,Pollard,59.1,27.7,0.7,0.0,21.2
AL,Powell,92.3,2.3,1.2,0.0,4.3
AL,Prattville,78.5,16.7,0.4,1.4,3.1
AL,Priceville,93.7,1.9,0.7,1.0,2.2
AL,Prichard,12.5,85.8,0.4,0.1,0.8
AL,Providence,81.2,13.0,0.0,0.0,3.1
AL,Putnam,23.3,72.5,2.6,0.0,0.0
AL,Ragland,82.8,15.4,0.1,0.1,0.3
AL,Rainbow City,87.4,7.2,0.4,2.6,2.4
AL,Rainsville,95.1,0.2,0.9,0.2,3.8
AL,Ranburne,99.0,0.0,0.2,0.0,0.2
AL,Ray,65.9,16.3,0.2,1.1,17.4
AL,Red Bay,92.5,1.2,0.3,0.1,5.1
AL,Redland,82.6,12.9,0.3,1.7,2.3
AL,Red Level,90.8,9.0,0.0,0.0,0.8
AL,Redstone Arsenal,69.1,20.8,1.2,1.7,10.7
AL,Reece City,93.4,2.0,1.1,0.9,0.8
AL,Reeltown,82.4,15.1,0.1,0.1,2.7
AL,Reform,50.6,48.2,0.1,0.0,0.9
AL,Rehobeth,95.9,1.5,0.8,0.2,2.5
AL,Repton,53.9,43.6,0.0,0.0,0.4
AL,Ridgeville,32.1,58.9,0.0,1.8,6.3
AL,River Falls,60.8,35.0,0.8,0.0,1.5
AL,Riverside,87.5,10.6,0.2,0.7,1.1
AL,Riverview,99.5,0.0,0.0,0.0,1.6
AL,Roanoke,57.6,40.5,0.2,0.6,1.2
AL,Robertsdale,85.3,5.4,0.8,0.5,9.2
AL,Rock Creek,97.5,0.8,0.7,0.1,0.0
AL,Rockford,62.5,37.5,0.0,0.0,1.3
AL,Rock Mills,97.3,1.5,0.0,0.0,1.8
AL,Rockville,97.7,2.3,0.0,0.0,2.3
AL,Rogersville,91.2,6.1,1.0,0.6,1.7
AL,Rosa,95.6,0.3,0.0,0.0,4.4
AL,Russellville,68.5,9.2,0.8,0.3,26.0
AL,Rutledge,73.7,22.9,0.0,1.1,2.1
AL,St. Florian,97.1,2.4,0.0,0.0,0.2
AL,St. Stephens,63.0,36.0,0.0,0.4,0.6
AL,Saks,75.7,19.4,0.4,0.8,3.4
AL,Samson,73.3,17.9,1.1,0.4,8.3
AL,Sand Rock,97.5,0.0,0.7,0.0,2.9
AL,Sanford,97.1,0.4,0.4,0.0,1.2
AL,Saraland,83.7,12.0,0.8,0.6,2.5
AL,Sardis City,98.2,0.4,0.1,0.4,0.7
AL,Satsuma,88.7,7.9,1.2,0.6,1.1
AL,Scottsboro,89.8,4.6,0.8,0.8,3.5
AL,Section,95.5,0.0,1.6,0.6,0.9
AL,Selma,18.0,80.3,0.2,0.6,0.6
AL,Selmont-West Selmont,4.5,93.9,0.1,0.0,1.5
AL,Sheffield,69.7,26.8,0.3,0.3,2.3
AL,Shelby,90.4,6.9,0.2,0.2,2.3
AL,Shiloh,95.3,1.5,2.9,0.0,0.7
AL,Shoal Creek,92.4,4.8,0.1,2.2,1.4
AL,Shorter,18.8,79.5,0.0,0.6,1.1
AL,Silas,71.0,29.0,0.0,0.0,0.0
AL,Silverhill,94.3,1.7,0.1,0.3,5.7
